AutoReverseDiff()
Iters: 100
QNDF{5, 0, true, Nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}, typeof(OrdinaryDiffEqCore.DEFAULT_PRECS), Val{:forward}, true, nothing, Nothing, Nothing, NTuple{5, Rational{Int64}}, typeof(OrdinaryDiffEqCore.trivial_limiter!)}(Val{5}(), nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}(1//100, 10, 1//5, 1//5, false, true, 0//1), OrdinaryDiffEqCore.DEFAULT_PRECS, nothing, nothing, :linear, (-37//200, -1//9, -823//10000, -83//2000, 0//1), :Standard, OrdinaryDiffEqCore.trivial_limiter!)
3mer
Peak Memory
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1683.3671875 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
1690.90625 MB
  45.260 s (301003557 allocations: 10.94 GiB)
Dict{Num, Float64}(k2 => 0.018536596834797008, k1 => 8.993311625586792, k3 => 10.971600141953767, k4 => 4.661124415042708e-11)
