AutoForwardDiff()
KenCarp4{0, true, Nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}, typeof(OrdinaryDiffEqCore.DEFAULT_PRECS), Val{:forward}, true, nothing, typeof(OrdinaryDiffEqCore.trivial_limiter!)}(nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}(1//100, 10, 1//5, 1//5, false, true, 0//1), OrdinaryDiffEqCore.DEFAULT_PRECS, true, :linear, :PI, OrdinaryDiffEqCore.trivial_limiter!)
5mer
Iteration  Ktri/Kdim  Efficiency
1 1.0 -1
2 1.000292057338967 -1
3 1.0007500711006971 -1
4 1.00132447971627 -1
5 1.0019885220059377 -1
6 1.002725428752908 -1
7 1.0035236760157917 -1
8 1.0043748652265734 -1
9 1.0052726098005937 -1
10 1.0062119034574255 -1
11 1.007188724068393 -1
12 1.008199784361906 -1
13 1.0092423526306897 -1
14 1.0103141041788393 -1
15 1.0114130384608748 -1
16 1.0125374174529833 -1
17 1.0136857284493315 -1
18 1.0148566463730455 -1
19 1.0160490119761618 -1
20 1.0172618057337306 -1
21 1.0184941269207348 -1
22 1.0197451562518933 -1
23 1.0210141466062104 -1
24 1.0223004151378792 -1
25 1.0236033270304574 -1
26 1.0244221996910117 -1
27 1.0249695903957337 -1
28 1.025585436113023 -1
29 1.0262644130179543 -1
30 1.0270016943862297 -1
31 1.027792882064163 -1
32 1.0286339654171097 -1
33 1.0295212761892403 -1
34 1.0304514755660703 -1
35 1.031421531462109 -1
36 1.0324286893039456 -1
37 1.0334704459285444 -1
38 1.0345445078540614 -1
39 1.0356487738212088 -1
40 1.0367813099020522 -1
41 1.037940363858202 -1
42 1.0391243481414016 -1
43 1.0403318155657817 -1
44 1.0415614370789816 -1
45 1.0428120116923372 -1
46 1.0440824351145903 -1
47 1.045371702583544 -1
48 1.0466788898978414 -1
49 1.0480031671154455 -1
50 1.0493437893506403 -1
51 1.0507000588322424 -1
52 1.051641519773785 -1
53 1.052631948647639 -1
54 1.0536676725551093 -1
55 1.054745357314927 -1
56 1.0558619567737557 -1
57 1.05701468887689 -1
58 1.0582010339151942 -1
59 1.059418700604993 -1
60 1.0606655855925013 -1
61 1.0615396677557922 -1
62 1.0624724856065488 -1
63 1.0634594204028265 -1
64 1.0644962828704843 -1
65 1.065579253286479 -1
66 1.0667048499345202 -1
67 1.0678699211437555 -1
68 1.0690716044590023 -1
69 1.0703072797220425 -1
70 1.0715745712017326 -1
71 1.0728713137205765 -1
72 1.074195556424509 -1
