AutoForwardDiff()
KenCarp4{0, true, Nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}, typeof(OrdinaryDiffEqCore.DEFAULT_PRECS), Val{:forward}, true, nothing, typeof(OrdinaryDiffEqCore.trivial_limiter!)}(nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}(1//100, 10, 1//5, 1//5, false, true, 0//1), OrdinaryDiffEqCore.DEFAULT_PRECS, true, :linear, :PI, OrdinaryDiffEqCore.trivial_limiter!)
7mer
Iteration  Ktri/Kdim  Efficiency
739 59.80671120881364 9.057846414324299
740 83.12049406647989 8.83586864686582
741 126.31894961754948 6.5682024305866
742 218.2141028569358 4.3055088195100275
743 370.3340666934964 2.5321112294863335
744 321.32859494684897 2.9177939530341352
745 219.67356830296063 4.273646008221382
746 157.09477032749086 5.539757665675153
747 120.74416584798398 6.768685091997635
748 98.22441842179941 7.895203142704489
749 83.33157434172854 8.76991014057962
750 72.95439058782145 9.268628128443686
751 65.46099869598007 9.340406890648445
752 59.94906052585153 9.041109793717908
753 55.898602894295244 8.513458783698407
754 52.99721071191008 7.920746969282463
755 51.04546449450509 6.639772454882176
756 49.905523650295095 5.805916006166281
757 49.47489148861823 5.480506994159064
758 49.673311020429246 5.596515234876769
759 50.43475694164554 6.103908412300283
760 51.70075154586261 6.9628272893057055
761 53.41432503607025 7.935031272978901
762 55.51527599833233 8.345439258685603
763 57.93734065220413 8.70420287972891
764 60.60717506840463 8.977389149567971
765 63.4445207487866 9.150407929126516
766 66.36340776619826 9.230943469701776
767 69.27292969003577 9.235151896206034
768 72.07942557947483 9.185390099627616
769 74.68988348193514 9.105373768432523
770 77.01677234671699 9.01343700869673
771 78.98408867200406 8.92462154618041
772 80.53335785663249 8.849484266819157
773 81.62850305288684 8.79446103062941
774 82.25858992732023 8.762630477447708
775 82.43769134158816 8.754391928667028
776 82.20189042852468 8.76809095265215
777 81.60410866430271 8.800575980663677
778 80.70785336833492 8.847692919548509
779 79.58102147559524 8.904731194348892
780 78.29063428368315 8.966827184478356
781 76.89897158677964 9.02933138044906
782 75.39969648490232 9.088145925716155
783 73.90962702417121 9.139888436042257
784 72.46636615232589 9.182325254444498
785 71.0996645210584 9.214461695856357
786 69.83226084294142 9.235948711458853
787 68.68082078854155 9.245247665861285
788 67.65715829617301 9.244061050237452
789 66.76896912437181 9.234750527432947
790 66.02043943750824 9.21996347552558
791 65.41273266740468 9.202278111244029
792 64.9443734849261 9.186652628272997
793 64.61120698510624 9.174796117120385
794 64.40672371023747 9.167777141264382
795 64.32235147124483 9.166005933293848
796 64.34773314327633 9.169297169831083
797 64.4710049503402 9.17699135512265
798 64.6790851845034 9.188110636717804
799 64.95797900202284 9.200533312435498
800 65.29328971505625 9.213300114523358
801 65.67050415000956 9.223973727852245
802 66.07546680633632 9.232099426833312
803 66.49464938187333 9.237429899021867
804 66.91541580144886 9.239897561505664
805 67.32627084417047 9.239689479515599
806 67.71708037540988 9.239318042759711
807 68.078928871711 9.238840798062844
808 68.40432708009122 9.238355418694718
809 68.6873609779454 9.238058918394705
810 68.92377646488266 9.238141520398838
811 69.11099781066179 9.238774306426253
812 69.24808180374225 9.240088738184701
813 69.3356133508401 9.242164886843637
814 69.37555153654242 9.244595350521049
815 69.37115509650212 9.247831149784206
816 69.32662030364203 9.249625794450317
817 69.24716169115806 9.249293370077545
818 69.13885918371051 9.247762086238673
819 69.00818900878691 9.247202763022152
820 68.8614559658319 9.247441420764144
821 68.7046318514493 9.248335603406316
822 68.54322522659268 9.249775315561532
823 68.38218233552602 9.251682918405212
824 68.22581760923343 9.25178888998654
825 68.07808669769032 9.252468953999454
826 67.94218152338264 9.250666826510106
827 67.82101244706179 9.249701055872169
828 67.71665165799156 9.249548917540999
829 67.63037849524751 9.250188901885517
830 67.56273917035493 9.24934575568236
831 67.51393828556944 9.247214174131736
832 67.48384497041184 9.24619329680581
833 67.47168986423968 9.24620064900517
834 67.47616090671988 9.247145602097515
835 67.49550255313905 9.248435855041691
836 67.52775034546107 9.250521011389258
837 67.57066531899176 9.251067662989989
838 67.62215202589495 9.249050436847607
839 67.68057725953614 9.248109750186828
840 67.744099234251 9.248116814621408
841 67.81075476952572 9.248954626259467
842 67.87854094870087 9.250517543889606
843 67.9454895806882 9.250524150065898
844 68.01005094378428 9.24913962170462
845 68.07107586100787 9.248669587692527
846 68.12747674869549 9.249013586958034
847 68.17826877879246 9.250084304709933
848 68.22260286145456 9.250996397005881
849 68.2599509578201 9.252556522115475
850 68.2899251678988 9.252564026969486
851 68.25686289221785 9.251002778407445
852 68.22258436693171 9.250353325895968
853 68.18714716610039 9.250524316626455
854 68.15063880166863 9.251434137351493
855 68.11317134928483 9.250860582074472
856 68.0751878493621 9.251113570738381
857 68.03707354744928 9.252095493968849
858 67.99915340115763 9.253262106141532
859 67.961822304665 9.252115403824813
860 67.92585814959918 9.24971645946811
861 67.89215660236106 9.248307663865877
862 67.86135969205347 9.247796149629087
863 67.83387187905086 9.248097774425458
864 67.80988062801381 9.249134960272826
865 67.78938046705319 9.250836951206814
866 67.77219953544574 9.251017195293993
867 67.75834039782093 9.249839289849735
868 67.74793610465824 9.249548332829377
869 67.74089962157846 9.250058776807295
870 67.73695838223892 9.250467060637252
871 67.73585263687646 9.251606030227668
872 67.7371716201796 9.251294420119656
873 67.74070171847892 9.249688363421537
874 67.74638926771878 9.249011089971253
875 67.7539955287106 9.249169235080874
876 67.76313414669956 9.250077807995988
