AutoForwardDiff()
KenCarp4{0, true, Nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}, typeof(OrdinaryDiffEqCore.DEFAULT_PRECS), Val{:forward}, true, nothing, typeof(OrdinaryDiffEqCore.trivial_limiter!)}(nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}(1//100, 10, 1//5, 1//5, false, true, 0//1), OrdinaryDiffEqCore.DEFAULT_PRECS, true, :linear, :PI, OrdinaryDiffEqCore.trivial_limiter!)
4mer
Iteration  Ktri/Kdim  Efficiency
1 1.0 -1
2 1.0012402843671415 -1
3 1.002782980803494 -1
4 1.004466931364488 -1
5 1.0058344443056944 -1
6 1.006973420106488 -1
7 1.0079396270254752 -1
8 1.0087709236697309 -1
9 1.0094942985887412 -1
10 1.0101297200473351 -1
11 1.0106924015492942 -1
12 1.011514530131998 -1
13 1.0125403878253765 -1
14 1.0137300522441155 -1
15 1.0150538960039714 -1
16 1.016252661655267 -1
17 1.017341601221001 -1
18 1.0183337665963696 -1
19 1.0192404034679101 -1
20 1.0200712592961039 -1
21 1.0208348273555583 -1
22 1.021782716079369 -1
23 1.0228886990619668 -1
24 1.024131150220546 -1
25 1.0252739570463778 -1
26 1.0263272998722024 -1
27 1.027300260940908 -1
28 1.0282009590438008 -1
29 1.0292637479452131 -1
30 1.0304684310440393 -1
31 1.0315826976662232 -1
32 1.0326153994769969 -1
33 1.0335745136107988 -1
34 1.0344672354655984 -1
35 1.0355243131362721 -1
36 1.0367263973355751 -1
37 1.0380567082364467 -1
38 1.0392902695200918 -1
39 1.0404363391995057 -1
40 1.0415033043772464 -1
41 1.042498765329816 -1
42 1.043429611087092 -1
43 1.044302087447627 -1
44 1.0453459301908319 -1
45 1.0465419137138654 -1
46 1.047873162039128 -1
47 1.0491123745502093 -1
48 1.050268341898666 -1
49 1.0513490425983996 -1
50 1.052361718222481 -1
51 1.0533129416356601 -1
52 1.0544320493257344 -1
53 1.0557007118862667 -1
54 1.0571027421650336 -1
55 1.0584103878037272 -1
56 1.0596326963935472 -1
57 1.060777880761662 -1
58 1.0618533956348666 -1
59 1.0628660073674667 -1
60 1.0638218573472418 -1
61 1.0649522433978922 -1
62 1.0662384201509072 -1
63 1.0674445164540594 -1
64 1.0685783051860203 -1
65 1.0696468394437584 -1
66 1.070881625516805 -1
67 1.0722649726107487 -1
68 1.073561955446018 -1
69 1.0747809702381768 -1
70 1.0759296336263797 -1
71 1.0770148547795848 -1
72 1.0780429009429238 -1
73 1.0792480372614277 -1
74 1.0806115153872125 -1
75 1.0821166685611299 -1
76 1.083528478854663 -1
77 1.0848560557414983 -1
78 1.0861076592823993 -1
79 1.0872907790703583 -1
80 1.0884122059504562 -1
81 1.0894780971580151 -1
82 1.0904940354636918 -1
83 1.091697754362868 -1
84 1.0930695033833904 -1
85 1.094591700050489 -1
86 1.0960242881930111 -1
87 1.0973760962820938 -1
88 1.0986551258753379 -1
89 1.0998686289883426 -1
90 1.1010231783153723 -1
91 1.1021247309457576 -1
92 1.1034134169861718 -1
93 1.1048696827949023 -1
94 1.1062468721684025 -1
95 1.107552869646323 -1
96 1.108794819433058 -1
97 1.109979195008794 -1
98 1.1113477744193545 -1
99 1.1128813875898507 -1
100 1.1143323172564061 -1
101 1.115708825563252 -1
102 1.1170183974089283 -1
103 1.1182678136940745 -1
104 1.1194632177272203 -1
105 1.1208490056842522 -1
106 1.122405412254398 -1
107 1.1238812761590113 -1
108 1.125284697826419 -1
109 1.1266230144734763 -1
110 1.127902872219943 -1
111 1.1291302914409136 -1
112 1.130552281439234 -1
113 1.132148689520491 -1
114 1.1336652641661942 -1
115 1.1351100788740196 -1
116 1.136490445495523 -1
117 1.1378129863544906 -1
118 1.1390836995825493 -1
119 1.1405522067222336 -1
120 1.14219806754767 -1
121 1.1437641148028486 -1
122 1.145258460101745 -1
123 1.1466884490518965 -1
124 1.1480607338809568 -1
125 1.1493813392458905 -1
126 1.1506557218309827 -1
127 1.1521370328243257 -1
128 1.1538039108808225 -1
129 1.155394470401875 -1
130 1.1569165363645222 -1
131 1.1583771942897447 -1
132 1.1597828605066793 -1
133 1.1611393457751853 -1
134 1.1627024423207108 -1
135 1.164450871206168 -1
136 1.1661204286287594 -1
137 1.1677192231211622 -1
138 1.1692545963805432 -1
139 1.1707331962117256 -1
140 1.1721610425656537 -1
141 1.1735435873213025 -1
142 1.1751401582795902 -1
143 1.1769287374061692 -1
144 1.1786407058619575 -1
145 1.1802840039750837 -1
146 1.1818658209356514 -1
147 1.183392666333132 -1
148 1.1848704349103927 -1
149 1.186304465172824 -1
150 1.1876995924318778 -1
151 1.1893196375419384 -1
152 1.1911414676968755 -1
153 1.1931444225835228 -1
154 1.1950587053294455 -1
155 1.1968934676441796 -1
156 1.1986569944417031 -1
157 1.2003567864486944 -1
158 1.2019996349738924 -1
159 1.2035916895768266 -1
160 1.2051385193057764 -1
161 1.206645168112455 -1
162 1.2081162049942606 -1
